tle_0	tle_1	norad_cat_num	status
1 00547U 61015 GG 89324.03492445  .98850985 +00000-0 +52512-1 0  9994	2 00547 066.8193 131.9537 0010401 294.2187 064.6836 15.88106453449572	n_00547	
1 00550U 61015 GK 91032.79048421  .72627095 +00000-0 +53020-1 0  9992	2 00550 066.9855 183.0096 0025369 355.2969 004.2927 15.84736942504307	n_00550	
1 00551U 61015 GL 90046.85311530  .18047939 +31104-4 +26418-2 0  9996	2 00551 066.7368 217.6406 0008591 221.5421 139.9809 16.34129435482736	n_00551	
1 00556U 61015 GN 90147.51116982  .07933030 +00000-0 +39139-1 0  9994	2 00556 067.0911 290.1395 0025959 291.8444 069.1383 15.88306781474274	n_00556	
1 00579U 63014B   11315.11307386  .80842682 -16601-5  67952-1 0  9993	2 00579 084.2315 103.3398 0037370 114.6743 249.6932 16.12051688565727	n_00579	
1 00594U 63022  A 90215.21449432  .09779217 -90000-5 +27928-2 0  9994	2 00594 089.7881 261.2191 0014302 251.9240 108.0583 16.27370567448674	n_00594	
1 00603U 63022B   00138.43733056  .25945440 -90848-6  82025-3 0  9994	2 00603 089.8679 207.1822 0014678 261.7468 098.1356 16.43510562979190	n_00603	
1 00604U 63024  A 94152.18073690  .02129576 +52585-4 +43933-3 0  9996	2 00604 058.1709 094.7046 0005086 284.1902 076.0350 16.30524975692579	n_00604	
1 00605U 63024  B 78356.60264252  .03779664 +00000-0 +00000-0 0  9994	2 00605 058.1386 183.9490 0016139 149.0100 211.1916 16.22883153850332	n_00605	
1 00606U 63024  C 88161.07052802  .06293326 +48800-4 +65183-3 0  9996	2 00606 058.3017 127.2432 0003159 323.4388 039.9368 16.37183627366588	n_00606	
1 00607U 63024  D 80031.24912195  .04689529 +52551-4 +18040-3 0  9994	2 00607 058.0439 271.9531 0004147 193.4801 166.6343 16.28322217911907	n_00607	
1 00610U 63022  C 91318.15730366  .07293506 -12000-5 +98285-2 0  9998	2 00610 090.0026 186.5442 0006642 071.1196 288.9737 16.06447286495151	n_00610	
1 00612U 63026  A 83348.25260895  .14311858 +59366-4 +28512-3 0  9994	2 00612 049.6421 022.4633 0005750 301.5831 058.5020 16.46828378083155	n_00612	
1 00623U 63029  B 63209.68181470  .04381473 +31501-1 +00000-0 0  9997	2 00623 082.8485 351.1213 0000000 115.7513 244.3303 16.31742227001563	n_00623	
1 00625U 63031  B 89190.91080143  .37342384 -13300-4 +69272-3 0  9994	2 00625 032.5131 129.1540 0031608 277.9620 082.1317 16.43930641760599	n_00625	
1 00647U 61015GY  01117.86870527 +.03005891 +11692-1 +59964-2 0  9994	2 00647 066.6469 291.6659 0016572 289.0966 070.8420 16.02214180094600	n_00647	
1 00650U 61015 HB 82146.75285397  .07260976 +30683-4 +17559-2 0  9991	2 00650 066.7729 174.2108 0010801 343.3668 017.3102 16.28921581112636	n_00650	
1 00651U 61015 HC 91004.49005743 -.92264199 +9950400 +15105-1 0  9993	2 00651 066.8085 149.8877 0010853 342.9477 017.4109 16.07532160525414	n_00651	
1 00661U 61015HN  02044.48261099  .08220323  17631+0  40440-1 0  9995	2 00661 066.8775 066.9321 0015491 056.1276 304.1553 15.90820765 53448	n_00661	
1 00662U 61015 HP 91359.09931273  .04838647 +00000-0 +28350-1 0  9997	2 00662 066.6804 209.8847 0013572 174.6631 185.6833 15.77872742540597	n_00662	
1 00683U 63043  A 82287.53410375  .02001462 +51625-4 +41737-3 0  9991	2 00683 058.8247 338.9218 0019838 195.3526 164.7523 16.29796259005646	n_00683	
1 00696U 63047  B 92080.07898720  .11191777 -48000-5 +10369-1 0  9993	2 00696 030.0174 338.4215 0025224 254.4816 105.2755 16.10318287432055	n_00696	
1 00697U 63047  C 89170.80521926  .02169359 +00000-0 +13499-1 0  9992	2 00697 029.9991 068.0703 0046272 242.4400 110.4227 15.74219996299565	n_00697	
1 00699U 63047  E 85060.99742528  .02436477 +13250-1 +58878-2 0  9992	2 00699 030.4089 025.7446 0019845 259.2265 099.0433 16.01058650068336	n_00699	
1 00714U 63053  A 81130.32197809 -.60229492 +40847-3 +24870+0 0  9992	2 00714 078.6742 076.7233 0031669 188.9597 171.1154 15.98052035730691	n_00714	
1 00717U 63054  B 90278.19394713  .16186476 +52601-4 +21175-2 0  9991	2 00717 058.4452 131.6668 0007015 251.6246 108.7528 16.34970009437818	n_00717	
1 00722U 63053C   18107.73853716  .10519988  29718+0  80827-1 0  9998	2 00722 78.3737 228.3264 0048420 261.5483 98.0279 15.81271626581437	n_00722	
1 00726U 63053G   14318.49282377  .24610826 -11737-6  77551-2 0  9993	2 00726 078.4633 015.3069 0014515 018.1949 341.5162 16.26118412494034	n_00726	
1 00736U 63054  D 81328.94353517  .04988561 +51766-4 +82953-3 0  9993	2 00736 058.4626 136.3635 0008559 324.1362 043.4825 16.32621528974714	n_00736	
1 00748U 64006B   97110.39305202  .99999999  13297-4  10000-2 0  9998	2 00748 056.6966 134.7020 0989269 068.1136 302.0951 14.32928413128855	n_00748	
1 00751U 64006D   98046.35712735 +.47833383 +10116-4 +19700-3 0  9991	2 00751 056.2317 135.2636 0811049 067.5469 300.9358 14.76299757019684	n_00751	
1 00786U 64020  A 64119.78611489  .01669813 +00000-0 +00000-0 0  9992	2 00786 103.7711 194.9781 0175634 114.6829 247.1768 16.10161206000817	n_00786	
1 00806U 64026C   02322.43736764  .04771811  39839-1  76799-2 0  9993	2 00806 090.7594 255.2862 0014740 152.9155 207.3548 16.07210718 11660	n_00806	
1 00830U 64038  B 83251.32750317  .00413117 -12280-3 +88205-4 0  9990	2 00830 065.8514 191.9624 8342876 043.6280 357.4186 01.13276446076703	n_00830	
1 00832U 64038  D 83151.49999998  .00072393 -12256-3 +99999-4 0  9991	2 00832 065.8390 192.9340 8319054 045.0860 211.4120 01.14752629074466	n_00832	
1 00840U 60007D   03230.11630489  .03703928  62976-5  17787-2 0  9994	2 00840 066.5681 232.0042 0004733 291.3762 068.6932 16.20983040273162	n_00840	
1 00841U 60007E   02332.15558991  .05780692  63017-5  18542-2 0  9990	2 00841 066.6181 229.0964 0014119 205.5983 156.1640 16.25618937235037	n_00841	
1 00851U 64045  B 79067.20968408  .04483484 +43145-0 +92278-3 0  9992	2 00851 095.3800 294.0435 0039596 174.4719 187.1319 16.37377387686870	n_00851	
1 00869U 64049D   04100.06144494  .99999999  11641-4  29780-2 0  9990	2 00869 063.9167 193.7344 0300564 026.3329 335.2746 15.92304434221258	n_00869	
1 00898U 64049E   04128.18276473  .15431628  85022-5  10000-3 0  9997	2 00898 063.9858 213.9033 0345251 028.2528 333.6571 15.84426180291913	n_00898	
1 00924U 64074  A 83179.94758236  .08731586 +59884-4 +78684-3 0  9990	2 00924 051.9097 220.9069 0009333 024.5225 335.7367 16.38038685006394	n_00924	
1 00934U 64076  D 82274.49598860  .06016954 +00000-0 +21947-1 0  9996	2 00934 081.1917 108.2485 0034672 027.9165 332.6417 15.87337445846455	n_00934	
1 00935U 64076  E 84147.23839184 -.68367341 +88511-0 +13911-1 0  9990	2 00935 081.2819 235.4073 0026102 331.5877 028.3976 16.08603731933057	n_00935	
1 00937U 64076  G 81108.56901985  .08336411 -99112-6 +20860-1 0  9995	2 00937 081.2360 169.1939 0034525 105.0352 255.4743 15.94565669780296	n_00937	
1 00940U 64076  N 81069.70187216  .04558322 +00000-0 +24541-1 0  9998	2 00940 081.2634 168.7283 0024302 106.0706 252.8416 15.79682252777405	n_00940	
1 00941U 64076  J 78363.09478405  .00010910 +00000-0 +00000-0 0  9992	2 00941 081.3650 031.6757 0983875 014.8954 347.8996 12.98537838652271	n_00941	
1 00960U 64076  K 89118.85215253  .04817104 +00000-0 +20723-1 0  9996	2 00960 081.2344 041.9539 0039329 243.0989 115.3401 15.83699735178750	n_00960	
1 00973U 65003  A 79194.29741405  .08440403 +12013-4 +11877-3 0  9996	2 00973 098.6524 101.9092 0006265 220.4248 139.6301 16.43478098794900	n_00973	
1 00987U 65007  A 89221.41631787  .12086464 +11135-4 +26704-3 0  9999	2 00987 032.8206 195.1834 0001239 283.9518 076.2624 16.46992651356436	n_00987	
1 00988U 65007  B 77253.68061614  .09773393 +00000-0 +12421-2 0  9992	2 00988 032.8560 151.9585 0006538 271.3599 090.0331 16.27656867700482	n_00988	
1 01088U 65009  B 85190.71642387  .06117589 -17622-4 +30724-3 0  9997	2 01088 031.7218 295.8597 0002569 305.8509 054.2728 16.42574391123060	n_01088	
1 01097U 65014  A 90056.68348170  .20179781 +34100-4 +31171-3 0  9993	2 01097 064.9616 015.9124 0002268 211.1486 149.3621 16.48528665373194	n_01097	
1 01098U 65014  B 88207.13394524  .08906250 +33120-4 +10593-3 0  9994	2 01098 064.9788 083.3650 0012143 274.6877 086.0250 16.49156631292252	n_01098	
1 01268U 65020  B 68267.76953318  .05812147 +00000-0 +00000-0 0  9999	2 01268 055.9584 156.5937 0022577 039.3239 320.9377 16.38184823185192	n_01268	
1 01273U 65021  A 89365.32895818  .13971414 +17659-4 +25784-3 0  9993	2 01273 098.9654 327.6413 0005014 098.4602 262.6770 16.47484165356179	n_01273	
1 01289U 65021  C 79232.02311106  .02197740 +34422-5 +15415-3 0  9990	2 01289 098.9896 279.8827 0017252 148.3042 247.2134 16.18083149789438	n_01289	
1 01310U 65016  G 81086.25305192  .32725299 +29589-5 +28115-1 0  9998	2 01310 069.9792 325.8818 0007681 237.2758 122.7720 16.13079771826481	n_01310	
1 01324U 65030  A 79100.09643770  .01077126 +00000-0 +00000-0 0  9991	2 01324 064.0482 061.7478 7114519 222.3756 058.2615 02.57634776102292	n_01324	
1 01345U 65020  Q 88330.82006198  .10090342 +51900-4 +23668-2 0  9997	2 01345 055.8854 096.9970 0021015 283.2502 076.6884 16.28363049210050	n_01345	
