tle_0	tle_1	lat	lon	norad_cat_num	satellite_name	ownership	launch_date	satellite_decay	satellite_decay_hour	rcs
1 14895U 84030  J 84131.67441387  .35205026 +84189-5 +55607-2 0  9992	2 14895 072.8112 228.6510 0016063 279.7274 081.6712 16.33239607007897	6.144570085371816	-166.02423585381632	14895	COSMOS 1545 DEB         	CIS  	1984-03-21	1984-05-10	1984-05-11 11:00:00	  3.9800
1 14895U 84030  J 84131.67441387  .35205026 +84189-5 +55607-2 0  9992	2 14895 072.8112 228.6510 0016063 279.7274 081.6712 16.33239607007897	14.197861293739438	-163.94724362910713	14895	COSMOS 1545 DEB         	CIS  	1984-03-21	1984-05-10	1984-05-11 11:02:00	  3.9800
1 14895U 84030  J 84131.67441387  .35205026 +84189-5 +55607-2 0  9992	2 14895 072.8112 228.6510 0016063 279.7274 081.6712 16.33239607007897	30.199596037846753	-159.0699967880978	14895	COSMOS 1545 DEB         	CIS  	1984-03-21	1984-05-10	1984-05-11 11:06:00	  3.9800
1 14911U 78026GL  02103.10100634  .03365305  00000-0  22962-1 0  9997	2 14911 098.9870 301.8331 0024437 265.1860 094.7069 15.70969986 67891	-2.614836111232066	-47.7643256584104	14911	DELTA 1 DEB             	US   	1978-03-05	2002-04-15	2002-04-18 22:00:00	  0.0211
1 14911U 78026GL  02103.10100634  .03365305  00000-0  22962-1 0  9997	2 14911 098.9870 301.8331 0024437 265.1860 094.7069 15.70969986 67891	-10.953081744555561	-49.60500358312089	14911	DELTA 1 DEB             	US   	1978-03-05	2002-04-15	2002-04-18 22:02:00	  0.0211
1 14911U 78026GL  02103.10100634  .03365305  00000-0  22962-1 0  9997	2 14911 098.9870 301.8331 0024437 265.1860 094.7069 15.70969986 67891	-27.60654204020809	-53.59640562463085	14911	DELTA 1 DEB             	US   	1978-03-05	2002-04-15	2002-04-18 22:06:00	  0.0211
1 14912U 78026GM  04274.27376753  .03691254  25424-1  76315-2 0  9999	2 14912 098.8631 209.2705 0019701 161.8223 198.3762 16.03479604133373	49.252453123826925	121.26469482640212	14912	DELTA 1 DEB             	US   	1978-03-05	2004-10-01	2004-10-02 18:00:00	  0.0056
1 14912U 78026GM  04274.27376753  .03691254  25424-1  76315-2 0  9999	2 14912 098.8631 209.2705 0019701 161.8223 198.3762 16.03479604133373	40.989122926310834	118.12332690257318	14912	DELTA 1 DEB             	US   	1978-03-05	2004-10-01	2004-10-02 18:02:00	  0.0056
1 14912U 78026GM  04274.27376753  .03691254  25424-1  76315-2 0  9999	2 14912 098.8631 209.2705 0019701 161.8223 198.3762 16.03479604133373	24.338286277073237	113.37839448616532	14912	DELTA 1 DEB             	US   	1978-03-05	2004-10-01	2004-10-02 18:06:00	  0.0056
1 14915U 78026GQ  01023.39564531  .72175011  26942-5  50931-1 0  9996	2 14915 098.5397 357.1142 0029730 154.6521 206.7901 16.15062247943499	-38.65860773998912	77.62295523779552	14915	DELTA 1 DEB             	US   	1978-03-05	2001-01-23	2001-01-23 22:00:00	  0.0448
1 14915U 78026GQ  01023.39564531  .72175011  26942-5  50931-1 0  9996	2 14915 098.5397 357.1142 0029730 154.6521 206.7901 16.15062247943499	-46.90565818161849	74.78516873200614	14915	DELTA 1 DEB             	US   	1978-03-05	2001-01-23	2001-01-23 22:02:00	  0.0448
1 14915U 78026GQ  01023.39564531  .72175011  26942-5  50931-1 0  9996	2 14915 098.5397 357.1142 0029730 154.6521 206.7901 16.15062247943499	-63.15018053751037	65.7603236684524	14915	DELTA 1 DEB             	US   	1978-03-05	2001-01-23	2001-01-23 22:06:00	  0.0448
1 14918U 84014  E 84141.40347758  .03727625 +55354-4 +33824-3 0  9997	2 14918 051.6064 146.8839 0004586 003.1570 356.9499 16.38124057120662	-6.915557570014625	-66.19481249212443	14918	SOYUZ-T 10 ORBIT MODULE 	CIS  	1984-02-08	1984-05-21	1984-05-26 08:00:00	 11.4600
1 14918U 84014  E 84141.40347758  .03727625 +55354-4 +33824-3 0  9997	2 14918 051.6064 146.8839 0004586 003.1570 356.9499 16.38124057120662	-13.455747580039212	-61.28627655452725	14918	SOYUZ-T 10 ORBIT MODULE 	CIS  	1984-02-08	1984-05-21	1984-05-26 08:02:00	 11.4600
1 14918U 84014  E 84141.40347758  .03727625 +55354-4 +33824-3 0  9997	2 14918 051.6064 146.8839 0004586 003.1570 356.9499 16.38124057120662	-26.08962532743996	-50.39300592275985	14918	SOYUZ-T 10 ORBIT MODULE 	CIS  	1984-02-08	1984-05-21	1984-05-26 08:06:00	 11.4600
1 14920U 80030 AS 89361.23557770 -.33001047 +3857900 +23929-1 0  9996	2 14920 066.1903 060.7647 0044320 341.8846 018.0864 15.94742048426328	-25.486302765221687	96.86528518644644	14920	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-12-27	1989-12-28 14:00:00	  0.0400
1 14920U 80030 AS 89361.23557770 -.33001047 +3857900 +23929-1 0  9996	2 14920 066.1903 060.7647 0044320 341.8846 018.0864 15.94742048426328	-17.837665687344646	100.34133237960602	14920	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-12-27	1989-12-28 14:02:00	  0.0400
1 14920U 80030 AS 89361.23557770 -.33001047 +3857900 +23929-1 0  9996	2 14920 066.1903 060.7647 0044320 341.8846 018.0864 15.94742048426328	-2.344815468009602	106.4622610458263	14920	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-12-27	1989-12-28 14:06:00	  0.0400
